,Model,Id,Vgs,Vds,Vbs,Vth,Vdsat,Vov,Gm,Gds,Gmb,gm/Id,Va,selfgain,Cgstot,Cgdtot,Cbdtot,Cbstot,Cbdj,Cbsj,Cgsov,Cgdov,Cgbov,Cgg,_Cgd,_Cgs,_Cdg,Cdd,_Cds,_Cbg,_Cbd,_Cbs,fT,fD
M1,cmosp,-9.49e-05,-0.767,-1.21,0.0,-0.663,-0.14,-0.10399999999999998,0.00112,1.05e-05,0.000482,-11.80189673340358,-9.03809523809524,106.66666666666666,2.768e-13,1.096e-13,1.676e-13,2.94e-13,8.38e-14,1.19e-13,5.48e-14,5.48e-14,1e-17,3.02e-13,-5.48e-14,-2.22e-13,-1.33e-13,1.39e-13,1.12e-13,-3.57e-14,-8.38e-14,-1.75e-13,461318675.6286821,401110567.64834106
M2,cmosp,-9.49e-05,-0.767,-1.21,0.0,-0.663,-0.14,-0.10399999999999998,0.00112,1.05e-05,0.000482,-11.80189673340358,-9.03809523809524,106.66666666666666,2.768e-13,1.096e-13,1.676e-13,2.94e-13,8.38e-14,1.19e-13,5.48e-14,5.48e-14,1e-17,3.02e-13,-5.48e-14,-2.22e-13,-1.33e-13,1.39e-13,1.12e-13,-3.57e-14,-8.38e-14,-1.75e-13,461318675.6286821,401110567.64834106
M3,cmosn,9.49e-05,0.804,0.804,0.0,0.577,0.208,0.2270000000000001,0.00073,1.59e-05,0.000229,7.692307692307692,5.968553459119497,45.91194968553459,2.4459999999999998e-14,7.51e-15,1.564e-14,2.34e-14,7.84e-15,1.01e-14,3.86e-15,3.86e-15,9.01e-19,2.57e-14,-3.65e-15,-2.06e-14,-1.13e-14,1.16e-14,9.96e-15,-3.19e-15,-7.8e-15,-1.33e-14,3634129135.348252,2897334375.4883685
M4,cmosn,9.49e-05,0.804,0.805,0.0,0.577,0.208,0.2270000000000001,0.00073,1.58e-05,0.000229,7.692307692307692,6.006329113924051,46.202531645569614,2.4459999999999998e-14,7.51e-15,1.564e-14,2.34e-14,7.84e-15,1.01e-14,3.86e-15,3.86e-15,9.01e-19,2.57e-14,-3.65e-15,-2.06e-14,-1.13e-14,1.16e-14,9.96e-15,-3.19e-15,-7.8e-15,-1.33e-14,3634129135.348252,2897334375.4883685
M5a,cmosn,0.00041,0.805,1.27,0.0,0.569,0.214,0.2360000000000001,0.00305,5.75e-05,0.000955,7.439024390243903,7.130434782608695,53.04347826086957,9.760000000000001e-14,3e-14,5.6799999999999995e-14,9.37e-14,2.85e-14,4.04e-14,1.54e-14,1.54e-14,3.6e-18,1.03e-13,-1.46e-14,-8.22e-14,-4.5e-14,4.34e-14,3.98e-14,-1.28e-14,-2.83e-14,-5.33e-14,3804252166.381511,3143928603.8230624
M5b,cmosn,0.00041,0.805,1.27,0.0,0.569,0.214,0.2360000000000001,0.00305,5.75e-05,0.000955,7.439024390243903,7.130434782608695,53.04347826086957,9.760000000000001e-14,3e-14,5.6799999999999995e-14,9.37e-14,2.85e-14,4.04e-14,1.54e-14,1.54e-14,3.6e-18,1.03e-13,-1.46e-14,-8.22e-14,-4.5e-14,4.34e-14,3.98e-14,-1.28e-14,-2.83e-14,-5.33e-14,3804252166.381511,3143928603.8230624
M5c,cmosn,0.00041,0.805,1.27,0.0,0.569,0.214,0.2360000000000001,0.00305,5.75e-05,0.000955,7.439024390243903,7.130434782608695,53.04347826086957,9.760000000000001e-14,3e-14,5.6799999999999995e-14,9.37e-14,2.85e-14,4.04e-14,1.54e-14,1.54e-14,3.6e-18,1.03e-13,-1.46e-14,-8.22e-14,-4.5e-14,4.34e-14,3.98e-14,-1.28e-14,-2.83e-14,-5.33e-14,3804252166.381511,3143928603.8230624
M5d,cmosn,0.00041,0.805,1.27,0.0,0.569,0.214,0.2360000000000001,0.00305,5.75e-05,0.000955,7.439024390243903,7.130434782608695,53.04347826086957,9.760000000000001e-14,3e-14,5.6799999999999995e-14,9.37e-14,2.85e-14,4.04e-14,1.54e-14,1.54e-14,3.6e-18,1.03e-13,-1.46e-14,-8.22e-14,-4.5e-14,4.34e-14,3.98e-14,-1.28e-14,-2.83e-14,-5.33e-14,3804252166.381511,3143928603.8230624
M6,cmosp,-0.00164,-0.938,-1.23,0.0,-0.663,-0.27,-0.2749999999999999,0.0101,0.000125,0.0044,-6.158536585365853,-13.12,80.8,1.14e-12,4.38e-13,6.68e-13,1.1830000000000001e-12,3.34e-13,4.75e-13,2.19e-13,2.19e-13,4.01e-17,1.23e-12,-2.19e-13,-9.21e-13,-5.49e-13,5.53e-13,4.68e-13,-1.34e-13,-3.34e-13,-7.08e-13,1018672322.7047801,889084582.5376897
M7,cmosp,-0.00019,-0.938,-0.483,0.0,-0.663,-0.27,-0.2749999999999999,0.00117,3.23e-05,0.00051,-6.157894736842105,-5.882352941176471,36.22291021671827,1.4239999999999998e-13,5.5e-14,9.990000000000001e-14,1.48e-13,4.99e-14,5.93e-14,2.74e-14,2.74e-14,5.01e-18,1.54e-13,-2.76e-14,-1.15e-13,-6.89e-14,7.75e-14,5.86e-14,-1.66e-14,-5e-14,-8.87e-14,943319571.5173129,768515408.2439849
M8,cmosp,-0.0001,-0.938,-0.938,0.0,-0.663,-0.27,-0.2749999999999999,0.000617,8.8e-06,0.00027,-6.17,-11.363636363636363,70.11363636363636,7.13e-14,2.74e-14,4.44e-14,7.4e-14,2.22e-14,2.97e-14,1.37e-14,1.37e-14,2.51e-18,7.7e-14,-1.37e-14,-5.76e-14,-3.43e-14,3.59e-14,2.93e-14,-8.37e-15,-2.22e-14,-4.43e-14,994919958.335354,848734657.6292086
