,M1b,M2b,M3b,M4b,M5b,M6b,M7b,M8b
w,8e-06,8e-06,2.4e-05,2.4e-05,9.6e-05,3.2e-05,1.6e-05,8e-06
l,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07
m,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
as,4e-12,4e-12,8e-12,8e-12,2.6e-11,1e-11,6e-12,4e-12
ad,2e-12,2e-12,6e-12,6e-12,2.4e-11,8e-12,4e-12,2e-12
ps,9e-06,9e-06,2.7e-05,2.7e-05,0.000108,3.6e-05,1.8e-05,9e-06
pd,8e-12,8e-12,1.6e-11,1.6e-11,5.2e-11,2e-11,1.2e-11,8e-12
ids,9.95427e-05,9.96334e-05,-9.95427e-05,-9.96334e-05,-0.0004539,0.0004539,0.000199176,0.0001
vgs,0.73622,0.736488,-0.722302,-0.722302,-0.730487,0.64488,0.64488,0.64488
vds,1.26419,1.256,-0.722302,-0.730487,-1.25027,1.24973,0.513512,0.64488
vdsat,0.218639,0.218732,-0.25851,-0.258511,-0.267639,0.228238,0.218727,0.21848
region,saturation,saturation,saturation,saturation,saturation,saturation,saturation,saturation
vbs,-0.513512,-0.513512,0.0,0.0,0.0,0.0,0.0,0.0
vth,0.512911,0.513048,-0.479577,-0.479576,-0.479283,0.398086,0.412025,0.412779
vgsteff,0.223176,0.223308,0.243676,0.243677,0.252004,0.24604,0.232112,0.231365
gm,0.00077121,0.000771484,0.000688354,0.000688945,0.00302367,0.00325529,0.00149356,0.000755188
gds,1.42237e-05,1.42495e-05,1.11255e-05,1.10344e-05,3.66278e-05,6.10994e-05,4.59342e-05,1.88182e-05
gmb,0.000140697,0.000140745,0.000226025,0.00022622,0.000997005,0.000748867,0.000343719,0.000173521
gmoverid,7.74753,7.74323,6.91516,6.9148,6.66153,7.17182,7.49868,7.55188
self_gain,54.2201,54.1411,61.8716,62.436,82.5513,53.2786,32.5151,40.1306
cgs,2.04851e-14,2.04851e-14,5.75337e-14,5.75328e-14,2.29926e-13,8.27986e-14,4.13258e-14,2.0585e-14
cgsovl,3.83672e-15,3.83672e-15,1.36812e-14,1.36812e-14,5.47932e-14,1.54047e-14,7.69272e-15,3.83672e-15
cgb,1.06929e-15,1.06928e-15,4.73151e-15,4.73193e-15,1.89021e-14,4.74715e-15,2.39736e-15,1.21239e-15
cgbovl,4.5056e-19,4.5056e-19,4.178e-19,4.178e-19,4.178e-19,4.5056e-19,4.5056e-19,4.5056e-19
cgd,3.54993e-15,3.54995e-15,1.37033e-14,1.37023e-14,5.48009e-14,1.42244e-14,7.14991e-15,3.55239e-15
cgdovl,3.83672e-15,3.83672e-15,1.36812e-14,1.36812e-14,5.47932e-14,1.54047e-14,7.69272e-15,3.83672e-15
cbd,2.23532e-15,2.23839e-15,8.79162e-15,8.77143e-15,3.09503e-14,9.87344e-15,5.96112e-15,2.85932e-15
cjd,2.19255e-15,2.1956e-15,8.77856e-15,8.75887e-15,3.09411e-14,9.68618e-15,5.83929e-15,2.80709e-15
cbs,9.58533e-15,9.58534e-15,1.04296e-14,1.04291e-14,4.23809e-14,7.40127e-15,3.74218e-15,1.87098e-15
cjs,8.44786e-15,8.44786e-15,0.0,0.0,0.0,0.0,0.0,0.0
csd,1.2201e-16,1.21992e-16,-1.75779e-17,-1.68538e-17,-8.4658e-18,4.96524e-16,2.10492e-16,1.16049e-16
cm,7.65327e-15,7.65325e-15,2.05685e-14,2.0568400000000002e-14,8.237010000000001e-14,3.0766899999999994e-14,1.536549e-14,7.66271e-15
cmb,1.3617000000000004e-15,1.3616599999999997e-15,6.554979999999999e-15,6.5551699999999996e-15,2.6377799999999996e-14,7.127159999999999e-15,3.532629999999999e-15,1.76295e-15
cmx,1.6286799999999999e-15,1.62863e-15,2.6933899999999994e-15,2.69371e-15,1.03839e-14,7.04035e-15,3.44492e-15,1.7071500000000001e-15
fug,4889280000.0,4891000000.0,1442110000.0,1443370000.0,1584940000.0,5090840000.0,4672550000.0,4741330000.0
