,M1,M2,M3,M4,M5,M6,M7,M8
ids,0.000105641,0.000105617,-0.000105641,-0.000105617,-0.000646654,0.000646654,0.000211257,1e-05
vgs,0.742277,0.742211,-0.690497,-0.690497,-0.688565,0.615082,0.615082,0.615082
vds,1.30171,1.30365,-0.690497,-0.688565,-1.24993,1.25007,0.507789,0.615082
vdsat,0.224067,0.224043,-0.23312,-0.23312,-0.233442,0.204137,0.203332,0.198546
region,saturation,saturation,saturation,saturation,saturation,saturation,saturation,saturation
vbs,-0.507789,-0.507789,0.0,0.0,0.0,0.0,0.0,0.0
vth,0.511193,0.511161,-0.479487,-0.479487,-0.479239,0.380813,0.381919,0.388796
vgsteff,0.230897,0.230864,0.212712,0.212712,0.211067,0.232819,0.231707,0.224804
gm,0.000793705,0.000793634,0.000821357,0.000821185,0.00501011,0.00514704,0.00169057,8.21887e-05
gds,1.46103e-05,1.46042e-05,1.24346e-05,1.24578e-05,5.64959e-05,1.35067e-05,7.52748e-06,2.88987e-07
gmb,0.000145041,0.000145029,0.000269271,0.000269214,0.00164766,0.00114064,0.000374824,1.81918e-05
gmoverid,7.51326,7.51429,7.77502,7.77515,7.74775,7.9595,8.00241,8.21887
self_gain,54.325,54.3427,66.054,65.9173,88.6809,381.074,224.586,284.403
cgs,2.04917e-14,2.04916e-14,7.65934e-14,7.65937e-14,4.39832e-13,8.92521e-12,2.9772e-12,1.47745e-13
cgsovl,3.83672e-15,3.83672e-15,1.82492e-14,1.82492e-14,1.05041e-13,2.31341e-13,7.71007e-14,3.83672e-15
cgb,1.06718e-15,1.06718e-15,6.3658e-15,6.36566e-15,3.66779e-14,5.70909e-13,1.89381e-13,9.72409e-15
cgbovl,4.5056e-19,4.5056e-19,4.178e-19,4.178e-19,4.178e-19,3.94307e-18,3.94307e-18,3.94307e-18
cgd,3.54976e-15,3.54975e-15,1.82763e-14,1.82766e-14,1.05049e-13,2.21369e-13,7.84002e-14,3.77422e-15
cgdovl,3.83672e-15,3.83672e-15,1.82492e-14,1.82492e-14,1.05041e-13,2.31341e-13,7.71007e-14,3.83672e-15
cbd,2.2236e-15,2.22289e-15,1.18246e-14,1.18311e-14,5.9322e-14,1.47226e-13,6.17758e-14,9.04007e-17
cjd,2.18083e-15,2.18012e-15,1.18085e-14,1.18149e-14,5.93079e-14,1.45283e-13,5.84975e-14,0.0
cbs,9.60304e-15,9.60304e-15,1.39913e-14,1.39915e-14,8.15579e-14,1.03316e-12,3.46642e-13,1.73647e-14
cjs,8.46153e-15,8.46153e-15,0.0,0.0,0.0,0.0,0.0,0.0
csd,1.22096e-16,1.221e-16,-2.16126e-17,-2.18355e-17,-1.11936e-17,4.01414e-15,-2.28886e-15,-1.39527e-17
cm,7.65494e-15,7.65495e-15,2.74001e-14,2.7400200000000004e-14,1.57638e-13,3.897091e-12,1.2992197999999999e-12,6.464038e-14
cmb,1.3653999999999997e-15,1.3654100000000002e-15,8.746e-15,8.746000000000001e-15,5.0526e-14,9.704339999999998e-13,3.218592e-13,1.59819993e-14
cmx,1.63207e-15,1.63208e-15,3.5168199999999994e-15,3.51672e-15,1.95081e-14,9.096610000000002e-13,3.0035599999999996e-13,1.468971e-14
fug,5031030000.0,5030580000.0,1291280000.0,1291000000.0,1371110000.0,84299300.0,82916400.0,81124400.0
